Andrew,342337728,BEDFORD,PA,DES PLAINES,IL,12/16/2020 0800,12/16/2020 1200,1979,on time,214
Andrew,342558041,NIXA,MO,SAINT PETER,MN,12/16/2020 0600,12/16/2020 1300,3082,on time,68
Andrew,342959738,WESTLAKE,OH,EPHRATA,PA,12/16/2020 0800,12/16/2020 1430,1947,on time,169
Andrew,342857263,STURTEVANT,WI,LANCASTER,PA,12/16/2020 0900,12/16/2020 1700,1918,on time,4
Andrew,342579230,BROWNS SUMMIT,NC,SHELL ROCK,IA,12/16/2020 0800,12/16/2020 2200,1864,on time,213
Andy,468489,DAVENPORT,IA,CINCINNATI,OH,12/16/2020 0400,12/16/2020 0400,1911,Delivered,0
Andy,21789040,TETERBORO,NJ,BEDFORD,PA,12/16/2020 0600,12/16/2020 0600,1833,on time,0
Andy,342699285,ASHTON,IL,PALMYRA,PA,12/16/2020 0830,12/16/2020 0830,3101,on time,15
Andy,42443174,EASTON,PA,CLEVELAND,OH,12/16/2020 0930,12/16/2020 0930,4078,on time / split 07.00 ,110
Andy,9634041,LANCASTER,PA,PORT ALLEGANY,PA,12/16/2020 0700,12/16/2020 1200,1886,on time,23
Andy,342337781,BEDFORD,PA,DES PLAINES,IL,12/16/2020 0800,12/16/2020 1200,1833,late,567
Andy,SL208575674,NEWARK,NJ,MARION,IN,12/16/2020 0800,12/16/2020 1400,1905,late,253
Andy,3678860,CLINTON,MA,SPRING LAKE,MI,12/16/2020 0800,12/16/2020 1600,1976,on time,103
Andy,9614174,EVANSVILLE,IN,CHIEFLAND,FL,12/16/2020 0700,12/16/2020 1700,9006,on time,247
Joshua,517730,AVON,NY,INDIANAPOLIS,IN,12/15/2020 1700,12/15/2020 1700,1936,Delivered,0
Joshua,21688201,LOUISVILLE,KY,MONROE TOWNSHIP,NJ,12/16/2020 0430,12/16/2020 0430,1858,Delivered,0
Joshua,53741841,NAZARETH,PA,MARCY,NY,12/16/2020 0515,12/16/2020 0515,3176,on time,0
Joshua,472674,DAVENPORT,IA,HAGERSTOWN,MD,12/16/2020 0700,12/16/2020 0700,1854,on time,0
Joshua,342031193,BEDFORD,PA,JERSEY CITY,NJ,12/16/2020 0800,12/16/2020 0800,1949,on time,60
Joshua,42381644,LYNCHBURG,VA,CIRCLEVILLE,OH,12/16/2020 0830,12/16/2020 0830,1891,on time,345
Joshua,53744174,SHOREWOOD,IL,TOPEKA,KS,12/16/2020 1000,12/16/2020 1000,1859,on time,85
Joshua,342707685,CHIPPEWA FALLS,WI,CHURCHVILLE,NY,12/16/2020 1000,12/16/2020 1000,9009,on time,142
Joshua,2063077,EDWARDSVILLE,IL,CLEVELAND,TN,12/16/2020 1000,12/16/2020 1000,1955,on time,4
Joshua,53751608,VAN BUREN,IN,BEDFORD PARK,IL,12/16/2020 1000,12/16/2020 1000,1958,on time,5
Joshua,809555008,CHICAGO,IL,STOW,OH,12/16/2020 0800,12/16/2020 1130,1884,on time,22
Luc,342573888,ALTAVISTA,VA,YORK,PA,12/15/2020 2100,12/15/2020 2100,1831,Delivered,0
Luc,42347259,DIXON,IL,ATCHISON,KS,12/16/2020 0500,12/16/2020 0500,1882,on time,0
Luc,342366068,WEST POINT,VA,MASON,MI,12/16/2020 0800,12/16/2020 0800,1835,late,430
Luc,21773793,ELIZABETHTOWN,PA,CEDAR RAPIDS,IA,12/16/2020 0800,12/16/2020 0800,1867,on time,0
Luc,42435500,LYONS,NY,SEAFORD,DE,12/16/2020 0800,12/16/2020 0800,1855,on time,0
Luc,342568172,MOBILE,AL,WALDEN,NY,12/16/2020 1000,12/16/2020 1000,1943,on time,5
Luc,21810214,KANSAS CITY,MO,BOSS,MO,12/16/2020 0900,12/16/2020 1100,1921,late,201
Maria,53741800,NAZARETH,PA,MARCY,NY,12/16/2020 0630,12/16/2020 0630,1960,on time,50
Maria,341988109,FORT WAYNE,IN,FORT DIX,NJ,12/16/2020 0900,12/16/2020 0900,1880,on time,15
Maria,VP2023739,EMMAUS,PA,ELMIRA,NY,12/16/2020 0800,12/16/2020 1000,3090,on time,0
Maria,53750443,ANKENY,IA,JOLIET,IL,12/16/2020 1000,12/16/2020 1000,1881,on time,7
Maria,342837020,SOUTH DEERFIELD,MA,WASHINGTON,PA,12/16/2020 0430,12/16/2020 1030,9007,late,318
Maria,SL208602718,PHILADELPHIA,PA,AKRON,OH,12/16/2020 0630,12/16/2020 1300,1893,late,173
Nikita,53744199,BETHLEHEM,PA,WEST COXSACKIE,NY,12/16/2020 0130,12/16/2020 0130,3080,Delivered,0
Nikita,53752689,VAN BUREN,IN,BEDFORD PARK,IL,12/16/2020 0730,12/16/2020 0730,3177,paperlogs,0
Nikita,2420214716,SHEPHERDSVILLE,KY,DES PLAINES,IL,12/16/2020 0800,12/16/2020 0800,3060,on time,15
Nikita,SL208577520,SHANNON,GA,CANDLER,NC,12/16/2020 0800,12/16/2020 0800,3154,on time,0
Nikita,342747344,THOROFARE,NJ,CLAYSBURG,PA,12/16/2020 0800,12/16/2020 0800,1902,on time,0
Nikita,53752691,VAN BUREN,IN,BEDFORD PARK,IL,12/16/2020 0830,12/16/2020 0830,1928,on time,0
Nikita,53753958,WINSTON SALEM,NC,ELWOOD,IL,12/16/2020 0700,12/16/2020 1500,3161,paper logbook,0
Nikita,21819495,BATON ROUGE,LA,DUBUQUE,IA,12/16/2020 0800,12/16/2020 1600,1908,on time,63
Tony,53742789,BETHLEHEM,PA,CHESTERFIELD,NH,12/16/2020 0300,12/16/2020 0300,1942,Delivered,0
Tony,SL208595910,ATLANTA,GA,ONEIDA,NY,12/16/2020 0800,12/16/2020 0800,3166,on time,0
Tony,342125161,AVON,NY,WEST JEFFERSON,OH,12/16/2020 0800,12/16/2020 0800,3192,on time,0
Tony,342732714,LEBANON,TN,NEWARK,DE,12/16/2020 0800,12/16/2020 0800,1883,on time,180
Tony,42397188,HENDERSON,KY,MOUNTAIN TOP,PA,12/16/2020 0900,12/16/2020 0900,1937,on time,200
Tony,341734352,HOWARD,PA,EAGAN,MN,12/16/2020 0900,12/16/2020 0900,9004,late,440
Tony,969448,CHICAGO,IL,ADAMS,MA,12/16/2020 0800,12/16/2020 1400,1941,no logbook,0
Tony,342431704,RICEBORO,GA,BALTIMORE,MD,12/16/2020 0700,12/16/2020 1430,1889,on time,131
Tony,342265311,NICHOLASVILLE,KY,ALLENTOWN,PA,12/16/2020 0500,12/16/2020 1500,1866,Late,416
